phone\feature,variant,segmental,consonantal,sonorant,syllabic,approximant,labial,round,labiodental,coronal,anterior,distributed,dorsal,high,low,front,back,tense,pharyngeal,atr,voice,spread_glottis,constricted_glottis,continuant,strident,lateral,delayed_release,nasal,protruded
t,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0
t͇,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0
t̪,0,1,1,-1,-1,-1,-1,0,0,1,1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0
t̠,0,1,1,-1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0
d,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0
d͇,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0
d̪,0,1,1,-1,-1,-1,-1,0,0,1,1,1,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0
d̠,0,1,1,-1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0
dˤ,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,0
s,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
s͇,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
s̪,0,1,1,-1,-1,-1,-1,0,0,1,1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
s̟,2,1,1,-1,-1,-1,-1,0,0,1,1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
s̠,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
s̺,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
ṣ,9,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
z,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0
z͇,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0
z̪,0,1,1,-1,-1,-1,-1,0,0,1,1,1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0
z̟,2,1,1,-1,-1,-1,-1,0,0,1,1,1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0
z̠,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0
z̺,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0
θ̱,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,1,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
θ͇,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,1,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
ɹ̝̊,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,1,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
ð̠,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,1,0,0,0,0,0,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
ð͇,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,1,0,0,0,0,0,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
ɹ̝,2,1,1,-1,-1,-1,-1,0,0,1,1,-1,1,0,0,0,0,0,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
ɬ,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,1,-1,1,-1,1,-1,-1,0
ɮ,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,-1,1,-1,-1,0
ɮˤ,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,1,0,1,-1,-1,1,-1,1,-1,-1,0
θ,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
þ,9,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
s̄,5,1,1,-1,-1,-1,-1,0,0,1,1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
θṣ,5,1,1,-1,-1,-1,-1,0,0,1,1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
ð,0,1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
ð̞,0,1,1,-1,-1,1,-1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
ʃ,0,1,1,-1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
ʃʲ,2,1,1,-1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
š,1,1,1,-1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
ɹ̠̊˔,0,1,1,-1,-1,-1,-1,0,0,1,-1,1,1,0,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0
ʒ,0,1,1,-1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0
ʒʲ,2,1,1,-1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1,0
