phone\feature,variant,segmental,consonantal,sonorant,syllabic,labial,round,coronal,anterior,distributed,dorsal,high,low,back,tense,pharyngeal,atr,voice,spread_glottis,constricted_glottis,continuant,strident,lateral,delayed_release,nasal
t,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
d,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1
s,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1
z,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1
ɬ,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,1,-1,1,-1,1,-1,-1
ɮ,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1,1,-1,-1
θ,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1
ð,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1,-1,-1,-1
ʃ,0,1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1
ʃʲ,2,1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1
š,1,1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1
ʒ,0,1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1
ʒʲ,2,1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1
ž,1,1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,-1,0,1,-1,-1,1,1,-1,-1,-1
c,0,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
ɟ,0,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1
ç,0,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1
ʝ,0,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1
p,0,1,1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
b,0,1,1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1
f,0,1,1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1
v,0,1,1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,1,-1,-1,1,-1,-1,-1,-1
ɸ,0,1,1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1
β,0,1,1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,1,-1,-1,1,-1,-1,-1,-1
k,0,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
ɡ,0,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1
g,3,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1
x,0,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1
ɣ,0,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1
q,0,1,1,-1,-1,-1,0,-1,0,0,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
ɢ,0,1,1,-1,-1,-1,0,-1,0,0,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1
χ,0,1,1,-1,-1,-1,0,-1,0,0,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1
x̣,1,1,1,-1,-1,-1,0,-1,0,0,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1
ʁ,0,1,1,-1,-1,-1,0,-1,0,0,1,-1,-1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1
ʁ̝,2,1,1,-1,-1,-1,0,-1,0,0,1,-1,-1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1
